subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,expert,TotalBody,gyr,static_periods,ratio_percent,norm,6.428309538358999
VP_01,ftsst,talk,expert,TotalBody,gyr,static_periods,std_duration_sec,norm,0.3860142005861919
VP_01,ftsst,talk,expert,TotalBody,vel,static_periods,count_per_min,norm,5.999666685184157
VP_01,ftsst,talk,expert,TotalBody,vel,static_periods,max_duration_sec,norm,2.9669999999999845
VP_01,ftsst,talk,expert,TotalBody,vel,static_periods,mean_duration_sec,norm,0.758433333333331
VP_01,ftsst,talk,expert,TotalBody,vel,static_periods,ratio_percent,norm,7.583912004888595
VP_01,ftsst,talk,expert,TotalBody,vel,static_periods,std_duration_sec,norm,0.7312720463323645
VP_01,ftsst,talk,expert,Trunk,gyr,static_periods,count_per_min,norm,21.598800066662964
VP_01,ftsst,talk,expert,Trunk,gyr,static_periods,max_duration_sec,norm,5.216000000000008
VP_01,ftsst,talk,expert,Trunk,gyr,static_periods,mean_duration_sec,norm,0.9874166666666642
VP_01,ftsst,talk,expert,Trunk,gyr,static_periods,ratio_percent,norm,35.54502527637345
VP_01,ftsst,talk,expert,Trunk,gyr,static_periods,std_duration_sec,norm,0.8038053552107117
VP_01,ftsst,talk,expert,Trunk,vel,static_periods,count_per_min,norm,17.199044497527915
VP_01,ftsst,talk,expert,Trunk,vel,static_periods,max_duration_sec,norm,4.2169999999999845
VP_01,ftsst,talk,expert,Trunk,vel,static_periods,mean_duration_sec,norm,0.9694883720930216
VP_01,ftsst,talk,expert,Trunk,vel,static_periods,ratio_percent,norm,27.79045608577297
VP_01,ftsst,talk,expert,Trunk,vel,static_periods,std_duration_sec,norm,0.838847272703456
VP_01,ftsst,talk,expert,UpperExtremities,gyr,static_periods,count_per_min,norm,12.999277817899006
VP_01,ftsst,talk,expert,UpperExtremities,gyr,static_periods,max_duration_sec,norm,3.466000000000008
VP_01,ftsst,talk,expert,UpperExtremities,gyr,static_periods,mean_duration_sec,norm,0.8473999999999968
VP_01,ftsst,talk,expert,UpperExtremities,gyr,static_periods,ratio_percent,norm,18.359313371479296
VP_01,ftsst,talk,expert,UpperExtremities,gyr,static_periods,std_duration_sec,norm,0.7329814288234063
VP_01,ftsst,talk,expert,UpperExtremities,vel,static_periods,count_per_min,norm,8.599522248763957
VP_01,ftsst,talk,expert,UpperExtremities,vel,static_periods,max_duration_sec,norm,3.716000000000008
VP_01,ftsst,talk,expert,UpperExtremities,vel,static_periods,mean_duration_sec,norm,0.7923488372092976
